id,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono
1,41,1,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Media,Alta,2,Sales Executive,Alta,Single,5993,8,Yes,11,Alta,Baja,0,8,0,6,0,5,71916,14670.864
2,49,0,Travel_Frequently,Research & Development,8,Secundaria,Life Sciences,Alta,Media,2,Research Scientist,Media,Married,5130,1,No,23,Muy_Alta,Muy_Alta,1,10,3,10,1,7,61560,12558.24
4,37,1,Travel_Rarely,Research & Development,2,Secundaria,Other,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2090,6,Yes,15,Alta,Media,0,7,3,0,0,0,25080,4037.88
5,33,0,Travel_Frequently,Research & Development,3,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Married,2909,1,Yes,11,Alta,Alta,0,8,3,8,3,0,34908,6876.876
7,27,0,Travel_Rarely,Research & Development,2,Universitaria,Medical,Baja,Alta,1,Laboratory Technician,Alta,Married,3468,9,No,12,Alta,Muy_Alta,1,6,3,2,2,2,41616,8198.352
8,32,0,Travel_Frequently,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,3068,0,No,13,Alta,Alta,0,8,2,7,3,6,36816,7252.752
10,59,0,Travel_Rarely,Research & Development,3,Master,Medical,Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2670,4,Yes,20,Muy_Alta,Baja,3,12,3,1,0,0,32040,6311.88
11,30,0,Travel_Rarely,Research & Development,24,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2693,1,No,22,Muy_Alta,Media,1,1,2,1,0,0,32316,6366.252
12,38,0,Travel_Frequently,Research & Development,23,Secundaria,Life Sciences,Muy_Alta,Media,3,Manufacturing Director,Media,Single,9526,0,No,21,Muy_Alta,Media,0,10,2,9,1,8,114312,24005.52
13,36,0,Travel_Rarely,Research & Development,27,Universitaria,Medical,Alta,Alta,2,Healthcare Representative,Alta,Married,5237,6,No,13,Alta,Media,2,17,3,7,7,7,62844,12820.176
14,35,0,Travel_Rarely,Research & Development,16,Master,Medical,Baja,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2426,0,No,13,Alta,Alta,1,6,5,5,0,3,29112,4687.032
15,29,0,Travel_Rarely,Research & Development,15,Secundaria,Life Sciences,Muy_Alta,Media,2,Laboratory Technician,Media,Single,4193,0,Yes,12,Alta,Muy_Alta,0,10,3,9,0,8,50316,10264.464
16,31,0,Travel_Rarely,Research & Development,26,Universitaria,Life Sciences,Baja,Alta,1,Research Scientist,Alta,Divorced,2911,1,No,17,Alta,Muy_Alta,1,5,1,5,4,3,34932,6881.604
18,34,0,Travel_Rarely,Research & Development,19,Universitaria,Medical,Media,Alta,1,Laboratory Technician,Alta,Divorced,2661,0,No,11,Alta,Alta,1,3,2,2,1,2,31932,6290.604
19,28,1,Travel_Rarely,Research & Development,24,Secundaria,Life Sciences,Alta,Media,1,Laboratory Technician,Media,Single,2028,5,Yes,14,Alta,Media,0,6,4,4,0,3,24336,3918.096
20,29,0,Travel_Rarely,Research & Development,21,Master,Life Sciences,Media,Muy_Alta,3,Manufacturing Director,Muy_Alta,Divorced,9980,1,No,11,Alta,Alta,1,10,1,10,8,8,119760,25149.6
21,32,0,Travel_Rarely,Research & Development,5,Master,Life Sciences,Baja,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,3298,0,Yes,12,Alta,Muy_Alta,2,7,5,6,0,5,39576,7796.472000000001
22,22,0,Non-Travel,Research & Development,16,Master,Medical,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Divorced,2935,1,Yes,13,Alta,Media,2,1,2,1,0,0,35220,6938.34
23,53,0,Travel_Rarely,Sales,2,Secundaria,Life Sciences,Baja,Media,4,Manager,Media,Married,15427,2,No,16,Alta,Alta,0,31,3,25,3,7,185124,38876.04
24,38,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Single,3944,5,Yes,11,Alta,Alta,0,6,3,3,1,2,47328,9323.616
26,24,0,Non-Travel,Research & Development,11,Master,Other,Baja,Muy_Alta,2,Manufacturing Director,Muy_Alta,Divorced,4011,0,No,18,Alta,Muy_Alta,1,5,5,4,1,3,48132,9482.004
27,36,1,Travel_Rarely,Sales,9,Secundaria,Life Sciences,Alta,Media,1,Sales Representative,Alta,Single,3407,7,No,23,Muy_Alta,Media,0,10,4,5,0,3,40884,8054.148
28,34,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Baja,Alta,3,Research Director,Alta,Single,11994,0,No,11,Alta,Alta,0,13,4,12,2,11,143928,30224.879999999997
30,21,0,Travel_Rarely,Research & Development,15,Universitaria,Life Sciences,Alta,Alta,1,Research Scientist,Alta,Single,1232,1,No,14,Alta,Muy_Alta,0,0,6,0,0,0,14784,2380.224
31,34,1,Travel_Rarely,Research & Development,6,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Single,2960,2,No,11,Alta,Alta,0,8,2,4,1,3,35520,6997.4400000000005
32,53,0,Travel_Rarely,Research & Development,5,Universitaria,Other,Alta,Alta,5,Manager,Alta,Divorced,19094,4,No,11,Alta,Muy_Alta,1,26,3,14,4,8,229128,48116.88
33,32,1,Travel_Frequently,Research & Development,16,Primaria,Life Sciences,Media,Baja,1,Research Scientist,Alta,Single,3919,1,Yes,22,Muy_Alta,Media,0,10,5,10,6,7,47028,9264.516
35,42,0,Travel_Rarely,Sales,8,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6825,0,No,11,Alta,Muy_Alta,1,10,2,9,4,2,81900,17199.0
36,44,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,Baja,Media,3,Healthcare Representative,Media,Married,10248,3,No,14,Alta,Muy_Alta,1,24,4,22,5,17,122976,25824.96
38,46,0,Travel_Rarely,Sales,2,Universitaria,Marketing,Media,Alta,5,Manager,Alta,Single,18947,3,No,12,Alta,Muy_Alta,0,22,2,2,2,1,227364,47746.439999999995
39,33,0,Travel_Rarely,Research & Development,2,Universitaria,Medical,Alta,Alta,1,Laboratory Technician,Alta,Single,2496,4,No,11,Alta,Muy_Alta,0,7,3,1,0,0,29952,4822.272
40,44,0,Travel_Rarely,Research & Development,10,Universitaria,Other,Muy_Alta,Alta,2,Healthcare Representative,Alta,Married,6465,2,Yes,13,Alta,Muy_Alta,0,9,5,4,1,3,77580,16291.8
41,30,0,Travel_Rarely,Research & Development,9,universitaria,Medical,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,2206,1,No,13,Alta,Baja,0,10,5,10,1,8,26472,4261.992
42,39,1,Travel_Rarely,Sales,5,Universitaria,Technical Degree,Muy_Alta,Alta,2,Sales Representative,Alta,Married,2086,3,No,14,Alta,Alta,1,19,6,1,0,0,25032,4030.152
45,24,1,Travel_Rarely,Research & Development,1,Universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Married,2293,2,Yes,16,Alta,Baja,1,6,2,2,2,0,27516,4430.076
46,43,0,Travel_Rarely,Research & Development,2,Master,Medical,Muy_Alta,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,2645,1,No,12,Alta,Muy_Alta,2,6,3,5,1,4,31740,6252.780000000001
47,50,1,Travel_Rarely,Sales,3,Secundaria,Marketing,Baja,Media,1,Sales Representative,Media,Married,2683,1,Yes,14,Alta,Alta,0,3,2,3,0,2,32196,6342.612
49,35,0,Travel_Rarely,Sales,2,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Married,2014,1,No,13,Alta,Baja,0,2,3,2,2,2,24168,3891.0480000000002
51,36,0,Travel_Rarely,Research & Development,5,Secundaria,Life Sciences,Media,Media,1,Research Scientist,Media,Married,3419,9,Yes,14,Alta,Muy_Alta,1,6,3,1,0,0,41028,8082.5160000000005
52,33,0,Travel_Frequently,Sales,1,Master,Life Sciences,Alta,Muy_Alta,2,Sales Executive,Muy_Alta,Married,5376,2,No,19,Alta,Baja,2,10,3,5,1,3,64512,13160.447999999999
53,35,0,Travel_Rarely,Research & Development,4,Universitaria,Other,Alta,Alta,1,Laboratory Technician,Alta,Divorced,1951,1,No,12,Alta,Alta,1,1,3,1,0,0,23412,3769.332
54,27,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2341,1,No,13,Alta,Muy_Alta,1,1,6,1,0,0,28092,4522.812
55,26,1,Travel_Rarely,Research & Development,25,universitaria,Life Sciences,Baja,Baja,1,Laboratory Technician,Baja,Single,2293,1,No,12,Alta,Alta,0,1,2,1,0,1,27516,4430.076
56,27,0,Travel_Frequently,Sales,8,Universitaria,Life Sciences,Muy_Alta,Alta,3,Sales Executive,Alta,Single,8726,1,No,15,Alta,Muy_Alta,0,9,0,9,1,7,104712,21989.52
57,30,0,Travel_Frequently,Research & Development,1,Universitaria,Medical,Alta,Alta,2,Laboratory Technician,Alta,Single,4011,1,No,23,Muy_Alta,Muy_Alta,0,12,2,12,3,7,48132,9482.004
58,41,1,Travel_Rarely,Research & Development,12,Universitaria,Technical Degree,Media,Alta,5,Research Director,Alta,Married,19545,1,No,12,Alta,Muy_Alta,0,23,0,22,15,8,234540,49253.4
60,34,0,Non-Travel,Sales,23,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Single,4568,0,No,20,Muy_Alta,Alta,0,10,2,9,8,7,54816,11182.464
61,37,0,Travel_Rarely,Research & Development,19,Universitaria,Life Sciences,Media,Alta,1,Research Scientist,Alta,Married,3022,4,No,21,Muy_Alta,Baja,0,8,1,1,0,0,36264,7144.008000000001
62,46,0,Travel_Frequently,Sales,5,Universitaria,Marketing,Baja,Alta,2,Sales Executive,Alta,Single,5772,4,Yes,21,Muy_Alta,Alta,0,14,4,9,0,8,69264,14129.856
63,35,0,Travel_Rarely,Research & Development,8,Master,Life Sciences,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2269,1,No,19,Alta,Muy_Alta,0,1,2,1,0,1,27228,4383.7080000000005
64,48,1,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,Baja,Media,3,Laboratory Technician,Media,Single,5381,9,Yes,13,Alta,Muy_Alta,0,23,2,1,0,0,64572,13172.687999999998
65,28,1,Travel_Rarely,Research & Development,5,Universitaria,Technical Degree,Alta,Alta,1,Laboratory Technician,Alta,Single,3441,1,Yes,13,Alta,Alta,0,2,3,2,2,2,41292,8134.524
68,44,0,Travel_Rarely,Sales,1,Universitaria,Marketing,Media,Alta,2,Sales Executive,Alta,Divorced,5454,5,Yes,21,Muy_Alta,Alta,1,9,2,4,1,3,65448,13351.392
70,35,0,Non-Travel,Research & Development,11,universitaria,Medical,Alta,Media,3,Healthcare Representative,Media,Married,9884,2,Yes,13,Alta,Alta,1,10,3,4,2,3,118608,24907.68
72,26,0,Travel_Rarely,Sales,23,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Married,4157,7,Yes,19,Alta,Alta,1,5,2,2,0,0,49884,9827.148000000001
73,33,0,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,Baja,Alta,3,Research Director,Alta,Single,13458,1,Yes,12,Alta,Alta,0,15,1,15,8,12,161496,33914.159999999996
74,35,0,Travel_Frequently,Sales,18,Universitaria,Life Sciences,Media,Alta,3,Sales Executive,Alta,Married,9069,1,No,22,Muy_Alta,Muy_Alta,1,9,3,9,1,8,108828,22853.879999999997
75,35,0,Travel_Rarely,Research & Development,23,Universitaria,Medical,Alta,Alta,1,Laboratory Technician,Alta,Married,4014,3,Yes,15,Alta,Alta,1,4,3,2,2,2,48168,9489.096
76,31,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Muy_Alta,Alta,2,Laboratory Technician,Alta,Divorced,5915,3,No,22,Muy_Alta,Muy_Alta,1,10,3,7,1,7,70980,14479.919999999998
77,37,0,Travel_Rarely,Research & Development,1,universitaria,Life Sciences,Baja,Media,2,Manufacturing Director,Media,Divorced,5993,1,No,18,Alta,Alta,1,7,2,7,0,7,71916,14670.864
78,32,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,Baja,Alta,2,Manufacturing Director,Alta,Married,6162,1,Yes,22,Muy_Alta,Media,1,9,3,9,7,8,73944,15084.576
79,38,0,Travel_Frequently,Research & Development,29,Universitaria,Life Sciences,Muy_Alta,Alta,2,Laboratory Technician,Alta,Single,2406,1,No,11,Alta,Muy_Alta,0,10,2,10,9,9,28872,4648.392
80,50,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,Media,Media,5,Research Director,Media,Divorced,18740,5,Yes,12,Alta,Muy_Alta,1,29,2,27,13,8,224880,47224.799999999996
81,59,0,Travel_Rarely,Sales,25,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Single,7637,7,No,11,Alta,Muy_Alta,0,28,3,21,7,9,91644,19245.239999999998
83,36,0,Travel_Rarely,Research & Development,8,Universitaria,Technical Degree,Alta,Alta,3,Healthcare Representative,Alta,Divorced,10096,1,No,13,Alta,Media,3,17,2,17,12,8,121152,25441.92
84,55,0,Travel_Rarely,Research & Development,8,Universitaria,Medical,Muy_Alta,Alta,4,Manager,Alta,Divorced,14756,2,Yes,14,Alta,Alta,3,21,2,5,0,2,177072,37185.119999999995
85,36,0,Travel_Frequently,Research & Development,11,universitaria,Life Sciences,Media,Alta,2,Manufacturing Director,Alta,Single,6499,1,No,13,Alta,Alta,0,6,3,6,0,3,77988,16377.48
86,45,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,Media,Alta,3,Research Scientist,Alta,Divorced,9724,2,No,17,Alta,Alta,1,25,2,1,0,0,116688,24504.48
88,35,0,Travel_Frequently,Research & Development,1,universitaria,Medical,Media,Alta,1,Research Scientist,Alta,Married,2194,4,No,13,Alta,Muy_Alta,1,5,2,3,1,2,26328,4238.808
90,36,1,Travel_Rarely,Research & Development,9,Secundaria,Medical,Muy_Alta,Media,1,Research Scientist,Media,Married,3388,0,Yes,17,Alta,Baja,1,2,0,1,0,0,40656,8009.232
